time,user,action,object,event
1139,fb_user_12,like_live,livestream,2.0
1139,tw_user_8,share_live,livestream,2.0
1140,fb_user_27,like_live,livestream,2.0
1140,fb_user_12,like_live,livestream,2.0
1140,fb_user_21,like_live,livestream,2.0
1150,fb_user_14,like_live,livestream,2.0
1628,fb_user_12,like_live,livestream,
1631,tw_user_3,like_live,livestream,
2709,fb_user_10,like_live,livestream,
4094,fb_user_8,comment_live,livestream,3.0
4099,tw_user_5,share_live,livestream,3.0
4100,tw_user_7,like_live,livestream,3.0
4100,fb_user_18,like_live,livestream,3.0
4101,tw_user_6,like_live,livestream,3.0
4105,fb_user_4,share_live,livestream,3.0
4109,tw_user_3,like_live,livestream,3.0
4113,fb_user_3,like_live,livestream,3.0
4115,fb_user_24,like_live,livestream,3.0
4118,fb_user_2,like_live,livestream,3.0
4120,tw_user_9,like_live,livestream,
4126,fb_user_20,like_live,livestream,
4126,tw_user_8,like_live,livestream,
4127,fb_user_8,like_live,livestream,
4134,fb_user_16,like_live,livestream,
4143,fb_user_26,like_live,livestream,
4144,fb_user_10,share_live,livestream,
4147,fb_user_23,like_live,livestream,
4148,fb_user_19,like_live,livestream,
4159,fb_user_12,like_live,livestream,
4160,fb_user_18,like_live,livestream,
4165,tw_user_1,like_live,livestream,
4190,fb_user_18,comment_live,livestream,4.0
4190,tw_user_9,share_live,livestream,4.0
4200,fb_user_8,like_live,livestream,4.0
4200,fb_user_11,like_live,livestream,4.0
4201,fb_user_11,like_live,livestream,4.0
4201,tw_user_1,like_live,livestream,4.0
4202,tw_user_5,share_live,livestream,4.0
4206,tw_user_3,like_live,livestream,4.0
4209,tw_user_9,like_live,livestream,4.0
4213,fb_user_12,like_live,livestream,4.0
4214,fb_user_9,like_live,livestream,4.0
4215,tw_user_8,comment_live,livestream,4.0
4215,tw_user_3,like_live,livestream,4.0
4216,fb_user_11,like_live,livestream,4.0
4218,fb_user_14,like_live,livestream,4.0
4219,tw_user_7,like_live,livestream,4.0
4220,fb_user_24,like_live,livestream,4.0
4222,fb_user_24,like_live,livestream,4.0
4222,fb_user_4,share_live,livestream,4.0
4226,tw_user_7,like_live,livestream,4.0
4227,tw_user_8,like_live,livestream,4.0
4228,fb_user_6,like_live,livestream,4.0
4229,fb_user_1,share_live,livestream,4.0
4231,fb_user_26,like_live,livestream,4.0
4232,fb_user_15,like_live,livestream,4.0
4233,tw_user_4,like_live,livestream,4.0
4235,tw_user_6,like_live,livestream,4.0
4235,fb_user_13,like_live,livestream,4.0
4235,fb_user_6,like_live,livestream,4.0
4236,tw_user_1,share_live,livestream,4.0
4237,tw_user_1,like_live,livestream,4.0
4238,fb_user_5,like_live,livestream,4.0
4239,tw_user_5,like_live,livestream,4.0
4239,tw_user_1,like_live,livestream,4.0
4240,fb_user_22,like_live,livestream,4.0
4240,tw_user_10,share_live,livestream,4.0
4243,tw_user_6,like_live,livestream,4.0
4244,fb_user_4,like_live,livestream,4.0
4245,fb_user_2,like_live,livestream,4.0
4245,fb_user_2,share_live,livestream,4.0
4246,fb_user_24,like_live,livestream,4.0
4252,fb_user_21,like_live,livestream,4.0
4280,fb_user_27,share_live,livestream,
4281,fb_user_11,like_live,livestream,
4285,fb_user_26,like_live,livestream,
4295,tw_user_4,like_live,livestream,
4297,tw_user_9,like_live,livestream,
4301,fb_user_20,like_live,livestream,
4302,fb_user_6,like_live,livestream,
4304,fb_user_21,like_live,livestream,
4305,tw_user_2,like_live,livestream,
4306,tw_user_3,like_live,livestream,
4310,fb_user_19,comment_live,livestream,
4313,tw_user_3,like_live,livestream,
4315,fb_user_4,like_live,livestream,
4317,fb_user_26,like_live,livestream,
4317,tw_user_5,like_live,livestream,
4318,tw_user_10,like_live,livestream,
4320,fb_user_4,share_live,livestream,
4321,fb_user_1,like_live,livestream,
4323,fb_user_1,comment_live,livestream,
4323,fb_user_10,like_live,livestream,
4328,fb_user_11,like_live,livestream,
4330,tw_user_1,comment_live,livestream,
4334,fb_user_22,like_live,livestream,
4337,fb_user_25,like_live,livestream,
4345,fb_user_22,like_live,livestream,
4347,fb_user_6,like_live,livestream,
4350,fb_user_16,like_live,livestream,
4357,fb_user_27,like_live,livestream,
